127.0.0.1 - - [23/Feb/2018:13:46:59 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [23/Feb/2018:16:34:26 +0900] "GET /template/ageConfirm.jsp HTTP/1.1" 200 2129
0:0:0:0:0:0:0:1 - - [23/Feb/2018:16:34:28 +0900] "GET /template/ageConfirmError.jsp HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [23/Feb/2018:16:34:29 +0900] "GET /template/ageConfirm.jsp HTTP/1.1" 200 2129
0:0:0:0:0:0:0:1 - - [23/Feb/2018:16:34:30 +0900] "GET /template/home.jsp HTTP/1.1" 200 2560
0:0:0:0:0:0:0:1 - - [23/Feb/2018:16:34:47 +0900] "GET /template/home.jsp HTTP/1.1" 200 2560
0:0:0:0:0:0:0:1 - - [23/Feb/2018:16:35:14 +0900] "GET /template/home.jsp HTTP/1.1" 200 2560
0:0:0:0:0:0:0:1 - - [23/Feb/2018:16:35:26 +0900] "POST /template/LoginAction.action HTTP/1.1" 200 2564
0:0:0:0:0:0:0:1 - - [23/Feb/2018:16:35:54 +0900] "POST /template/LoginAction.action HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [23/Feb/2018:17:22:09 +0900] "GET /template/ageConfirmError.jsp HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [23/Feb/2018:17:22:13 +0900] "GET /template/ageConfirm.jsp HTTP/1.1" 200 2129
0:0:0:0:0:0:0:1 - - [23/Feb/2018:17:22:17 +0900] "GET /template/home.jsp HTTP/1.1" 200 2560
0:0:0:0:0:0:0:1 - - [23/Feb/2018:17:22:42 +0900] "POST /template/LoginAction.action HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [23/Feb/2018:17:22:47 +0900] "GET /template/HomeAction.action HTTP/1.1" 200 2661
0:0:0:0:0:0:0:1 - - [23/Feb/2018:17:22:51 +0900] "GET /template/UserCreateAction.action HTTP/1.1" 200 3775
0:0:0:0:0:0:0:1 - - [23/Feb/2018:17:23:39 +0900] "GET /template/HomeAction.action HTTP/1.1" 200 2661
0:0:0:0:0:0:0:1 - - [23/Feb/2018:17:23:44 +0900] "GET /template/LogoutAction.action HTTP/1.1" 200 2560
0:0:0:0:0:0:0:1 - - [23/Feb/2018:17:23:48 +0900] "GET /template/HomeAction.action HTTP/1.1" 200 9062
0:0:0:0:0:0:0:1 - - [23/Feb/2018:17:23:51 +0900] "GET /template/HomeAction.action HTTP/1.1" 200 9062
0:0:0:0:0:0:0:1 - - [23/Feb/2018:17:24:08 +0900] "GET /template/ageConfirmError.jsp HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [23/Feb/2018:17:30:59 +0900] "GET /template/home.jsp HTTP/1.1" 200 2560
0:0:0:0:0:0:0:1 - - [23/Feb/2018:17:38:24 +0900] "GET /template/ageConfirmError.jsp HTTP/1.1" 200 1637
